행정구역,2025년10월_전체,2025년10월_남자,2025년10월_여자,2025년10월_65세이상전체,2025년10월_65세이상남자,2025년10월_65세이상여자
,,,,,,
서울특별시 용산구 후암동(1117051000),"15,663","7,481","8,182","3,294","1,382","1,912"
서울특별시 용산구 용산2가동(1117052000),"8,502","4,188","4,314","2,146",908,"1,238"
서울특별시 용산구 남영동(1117053000),"6,973","4,233","2,740","1,679","1,043",636
서울특별시 용산구 청파동(1117055500),"18,640","8,586","10,054","3,566","1,518","2,048"
서울특별시 용산구 원효로제1동(1117056000),"17,087","7,813","9,274","2,242","1,002","1,240"
서울특별시 용산구 원효로제2동(1117057000),"13,415","6,241","7,174","2,608","1,134","1,474"
서울특별시 용산구 효창동(1117058000),"10,409","4,897","5,512","1,706",718,988
서울특별시 용산구 용문동(1117059000),"11,085","5,221","5,864","2,420","1,005","1,415"
서울특별시 용산구 한강로동(1117062500),"20,985","9,901","11,084","3,467","1,650","1,817"
서울특별시 용산구 이촌제1동(1117063000),"24,957","11,693","13,264","4,699","2,058","2,641"
서울특별시 용산구 이촌제2동(1117064000),"7,717","3,615","4,102","1,924",813,"1,111"
서울특별시 용산구 이태원제1동(1117065000),"5,949","2,946","3,003","1,451",631,820
서울특별시 용산구 이태원제2동(1117066000),"8,407","3,984","4,423","1,856",767,"1,089"
서울특별시 용산구 한남동(1117068500),"13,791","6,454","7,337","2,713","1,206","1,507"
서울특별시 용산구 서빙고동(1117069000),"12,101","5,809","6,292","2,372","1,040","1,332"
서울특별시 용산구 보광동(1117070000),"6,826","3,397","3,429","1,728",698,"1,030"
