"행정구역","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~9세","2024년_계_10~19세","2024년_계_20~29세","2024년_계_30~39세","2024년_계_40~49세","2024년_계_50~59세","2024년_계_60~69세","2024년_계_70~79세","2024년_계_80~89세","2024년_계_90~99세","2024년_계_100세 이상"
"서울특별시 용산구 (1117000000)","203,854","203,854","10,250","12,916","27,775","36,786","29,357","32,657","28,488","15,450","8,656","1,467","52"
"서울특별시 용산구 후암동(1117051000)","15,804","15,804","639","1,066","2,080","2,821","2,208","2,546","2,342","1,299","695","100","8"
"서울특별시 용산구 용산2가동(1117052000)","8,690","8,690","226","418","1,260","1,629","1,177","1,204","1,326","878","497","73","2"
"서울특별시 용산구 남영동(1117053000)","6,739","6,739","118","200","761","1,069","769","1,403","1,455","623","295","42","4"
"서울특별시 용산구 청파동(1117055500)","18,603","18,603","448","897","3,931","3,430","2,158","2,923","2,529","1,411","782","91","3"
"서울특별시 용산구 원효로제1동(1117056000)","17,020","17,020","1,057","936","2,759","4,284","2,600","2,221","1,823","885","387","67","1"
"서울특별시 용산구 원효로제2동(1117057000)","13,522","13,522","718","920","1,812","2,386","1,892","2,203","1,903","1,035","552","98","3"
"서울특별시 용산구 효창동(1117058000)","10,484","10,484","667","640","1,500","2,035","1,523","1,730","1,261","675","391","62","0"
"서울특별시 용산구 용문동(1117059000)","11,161","11,161","552","632","1,514","1,953","1,489","1,835","1,595","1,009","512","65","5"
"서울특별시 용산구 한강로동(1117062500)","20,901","20,901","1,187","944","3,020","4,894","2,836","3,175","2,740","1,307","674","121","3"
"서울특별시 용산구 이촌제1동(1117063000)","24,955","24,955","2,082","2,595","2,518","2,988","4,089","4,407","3,163","1,660","1,189","256","8"
"서울특별시 용산구 이촌제2동(1117064000)","7,711","7,711","386","431","758","1,326","1,098","1,224","1,280","738","398","70","2"
"서울특별시 용산구 이태원제1동(1117065000)","6,030","6,030","199","236","784","1,175","789","890","998","567","318","72","2"
"서울특별시 용산구 이태원제2동(1117066000)","8,507","8,507","317","402","1,171","1,701","1,269","1,228","1,155","713","476","73","2"
"서울특별시 용산구 한남동(1117068500)","14,073","14,073","876","887","1,516","2,511","2,392","2,254","1,891","1,102","545","98","1"
"서울특별시 용산구 서빙고동(1117069000)","12,467","12,467","630","1,364","1,528","1,476","2,107","2,120","1,698","834","584","119","7"
"서울특별시 용산구 보광동(1117070000)","7,187","7,187","148","348","863","1,108","961","1,294","1,329","714","361","60","1"
