영화제목,개봉일,예매매출액,예매관람수
위키드: 포 굿,2025-11-19,"1,857,992,590",162779
주토피아 2,2025-11-26,"929,980,610",99536
나우 유 씨 미 3,2025-11-12,"462,122,910",49466
극장판 체인소 맨: 레제편,2025-09-24,"172,453,240",16847
국보,2025-11-19,"137,451,620",14575
나혼자 프린스,2025-11-19,"59,757,900",8122
정보원,2025-12-03,"51,772,100",5655
윗집 사람들,2025-12-03,"56,640,800",5039
몬스타엑스 : 커넥트 엑스 인 시네마,2025-12-03,"100,200,000",4008
퍼스트 라이드,2025-10-29,"31,502,700",3591
극장판 주술회전: 시부야사변 X 사멸회유,2025-12-03,"37,040,950",3400
프레데터: 죽음의 땅,2025-11-05,"32,144,550",3390
포레스텔라 : 더 웨이브 인 시네마,2025-11-19,"82,625,000",3305
극장판 귀멸의 칼날: 무한성편,2025-08-22,"30,711,760",3122
세계의 주인,2025-10-22,"31,627,900",2952
엔드 오브 에반게리온,"재개봉일 : 2025-11-21

										2024-01-17","31,478,000",2840
코렐라인,"재개봉일 : 2025-10-22

										2009-05-21","25,720,500",2697
에이티즈 브이알 콘서트 : 라이트 더 웨이,2025-12-05,"84,315,000",2555
석류의 빛깔,2025-11-26,"23,148,000",2041
가타카,1998-05-02,"22,584,400",1939
극장판 주술회전: 회옥·옥절,2025-10-16,"17,982,800",1746
맨홀,2025-11-19,"13,535,900",1659
통잠,2025-11-19,"9,604,600",1630
"오늘 하늘이 가장 좋아,라고 아직 말할 수 없는 나는",2025-11-26,"18,146,000",1210
비정성시,"재개봉일 : 2008-06-12

										1990-01-26","11,937,600",1166
너와 나의 5분,2025-11-05,"9,086,500",1106
난징사진관,2025-11-05,"8,748,500",937
위키드,"재개봉일 : 2025-11-05

										2024-11-20","9,528,580",917
한란,2025-11-26,"8,265,300",915
8번 출구,2025-10-22,"7,094,500",850
부고니아,2025-11-05,"8,443,050",811
더 폴: 디렉터스 컷,2024-12-25,"10,795,000",799
제이홉 투어 ‘홉 온 더 스테이지’ 더 무비,2025-11-12,"18,775,000",751
극장판 노래하는☆왕자님♪ 타부 나이트 XXXX,2025-11-12,"7,490,300",745
극장판 똘똘이: 아기공룡의 비밀,2025-11-07,"5,454,100",588
